Word,Age Group,Difficulty Level
cartographer,11-12 years,Hard
interrupted,11-12 years,Hard
uninstall,11-12 years,Moderate
biophysical,11-12 years,Hard
fricative,11-12 years,Moderate
dimmer,7-8 years,Moderate
harmonic,9-10 years,Moderate
wavelet,9-10 years,Moderate
humbug,7-8 years,Moderate
macadamia,11-12 years,Moderate
parsimonious,11-12 years,Hard
chill,7-8 years,Moderate
stovetop,9-10 years,Moderate
sniffer,9-10 years,Moderate
alliteration,11-12 years,Hard
colorist,9-10 years,Moderate
kraut,7-8 years,Moderate
crone,7-8 years,Moderate
spectroscopic,11-12 years,Hard
subjunctive,11-12 years,Hard
achingly,9-10 years,Moderate
rayon,7-8 years,Moderate
commode,9-10 years,Moderate
breathalyzer,11-12 years,Hard
rrna,5-6 years,Moderate
morpheme,9-10 years,Moderate
unleaded,9-10 years,Moderate
udder,7-8 years,Moderate
consumerist,11-12 years,Hard
physicalism,11-12 years,Hard
clustered,11-12 years,Moderate
paladin,9-10 years,Moderate
classless,11-12 years,Moderate
wordy,7-8 years,Moderate
barmaid,9-10 years,Moderate
adduce,7-8 years,Moderate
borer,7-8 years,Moderate
interdependency,11-12 years,Hard
gangrene,9-10 years,Moderate
laggard,9-10 years,Moderate
cordially,11-12 years,Moderate
cushioning,11-12 years,Hard
whitefish,11-12 years,Moderate
umpteenth,11-12 years,Moderate
accomodate,11-12 years,Hard
lamentable,11-12 years,Hard
squeezing,11-12 years,Moderate
calisthenics,11-12 years,Hard
disinclined,11-12 years,Hard
ingeniously,11-12 years,Hard
antigovernment,11-12 years,Hard
diuretic,9-10 years,Moderate
tactfully,11-12 years,Moderate
prefecture,11-12 years,Hard
checkbox,9-10 years,Moderate
honk,5-6 years,Moderate
lighthearted,11-12 years,Hard
domesticate,11-12 years,Hard
gargle,7-8 years,Moderate
schadenfreude,11-12 years,Hard
discernable,11-12 years,Hard
cutaway,9-10 years,Moderate
spiritualist,11-12 years,Hard
mailroom,9-10 years,Moderate
morel,7-8 years,Moderate
snatcher,9-10 years,Moderate
onyx,5-6 years,Moderate
yuk,5-6 years,Moderate
anticommunist,11-12 years,Hard
ecoregion,11-12 years,Moderate
unfailing,11-12 years,Moderate
turbidity,11-12 years,Moderate
virginian,11-12 years,Moderate
unchangeable,11-12 years,Hard
airbrush,9-10 years,Moderate
anchoring,11-12 years,Moderate
griffin,9-10 years,Moderate
wrongdoer,11-12 years,Moderate
plotting,9-10 years,Moderate
encephalopathy,11-12 years,Hard
nearsighted,11-12 years,Hard
swapping,9-10 years,Moderate
prefab,7-8 years,Moderate
magpie,7-8 years,Moderate
ignominious,11-12 years,Hard
biosynthesis,11-12 years,Hard
unintelligent,11-12 years,Hard
pasty,7-8 years,Moderate
brainpower,11-12 years,Hard
disempower,11-12 years,Hard
hardscrabble,11-12 years,Hard
cloaked,9-10 years,Moderate
thin,5-6 years,Moderate
forfeit,9-10 years,Moderate
chambered,11-12 years,Moderate
jawline,9-10 years,Moderate
aioli,7-8 years,Moderate
risque,7-8 years,Moderate
euclidean,11-12 years,Moderate
pecker,7-8 years,Moderate
overcast,9-10 years,Moderate
garnet,7-8 years,Moderate
moto,5-6 years,Moderate
disunity,9-10 years,Moderate
keyboardist,11-12 years,Hard
fortieth,9-10 years,Moderate
noncommissioned,11-12 years,Hard
linearity,11-12 years,Moderate
biannual,9-10 years,Moderate
ravishing,11-12 years,Moderate
glycol,7-8 years,Moderate
churning,9-10 years,Moderate
dispositional,11-12 years,Hard
gurgle,7-8 years,Moderate
lingua,7-8 years,Moderate
blather,9-10 years,Moderate
masochistic,11-12 years,Hard
largess,9-10 years,Moderate
logarithm,11-12 years,Moderate
dispiriting,11-12 years,Hard
policewoman,11-12 years,Hard
searing,9-10 years,Moderate
snowdrift,11-12 years,Moderate
aftercare,11-12 years,Moderate
multilateralism,11-12 years,Hard
reanimate,11-12 years,Moderate
transient,11-12 years,Moderate
stargazer,11-12 years,Moderate
gallantry,11-12 years,Moderate
roadshow,9-10 years,Moderate
salicylic,11-12 years,Moderate
hooked,7-8 years,Moderate
claret,7-8 years,Moderate
stilt,7-8 years,Moderate
ballclub,9-10 years,Moderate
surfeit,9-10 years,Moderate
iterate,9-10 years,Moderate
dispensing,11-12 years,Hard
disfigurement,11-12 years,Hard
scamming,9-10 years,Moderate
suddenness,11-12 years,Hard
manipulated,11-12 years,Hard
believing,11-12 years,Moderate
twat,5-6 years,Moderate
polis,7-8 years,Moderate
trident,9-10 years,Moderate
nitro,7-8 years,Moderate
sophomoric,11-12 years,Hard
compromising,11-12 years,Hard
bobsled,9-10 years,Moderate
ovenproof,11-12 years,Moderate
hawker,7-8 years,Moderate
adobo,7-8 years,Moderate
unmolested,11-12 years,Hard
overhang,9-10 years,Moderate
hemline,9-10 years,Moderate
flighty,9-10 years,Moderate
rhesus,7-8 years,Moderate
exported,9-10 years,Moderate
hexagon,9-10 years,Moderate
optically,11-12 years,Moderate
faxed,7-8 years,Moderate
weaponize,11-12 years,Moderate
ridley,7-8 years,Moderate
impassively,11-12 years,Hard
welded,7-8 years,Moderate
welter,7-8 years,Moderate
chilli,7-8 years,Moderate
pumped,7-8 years,Moderate
partaker,9-10 years,Moderate
iconoclast,11-12 years,Hard
sage,5-6 years,Moderate
hamiltonian,11-12 years,Hard
occlude,9-10 years,Moderate
preclinical,11-12 years,Hard
separable,11-12 years,Moderate
interiority,11-12 years,Hard
slowing,9-10 years,Moderate
unenviable,11-12 years,Hard
spacewalk,11-12 years,Moderate
catastrophically,11-12 years,Hard
groundcover,11-12 years,Hard
unpleasantly,11-12 years,Hard
hypersensitivity,11-12 years,Hard
resonator,11-12 years,Moderate
subroutine,11-12 years,Hard
schlep,7-8 years,Moderate
omniscience,11-12 years,Hard
charitably,11-12 years,Hard
tater,7-8 years,Moderate
draftsman,11-12 years,Moderate
ax,5-6 years,Easy
twinkling,11-12 years,Moderate
positivist,11-12 years,Hard
cavalcade,11-12 years,Moderate
obliging,9-10 years,Moderate
tantalizingly,11-12 years,Hard
dormancy,9-10 years,Moderate
thunderhead,11-12 years,Hard
fizzy,7-8 years,Moderate
iridium,9-10 years,Moderate
yemeni,7-8 years,Moderate
looted,7-8 years,Moderate
singsong,9-10 years,Moderate
wimp,5-6 years,Moderate
cladding,9-10 years,Moderate
kitschy,9-10 years,Moderate
soma,5-6 years,Moderate
sloppiness,11-12 years,Hard
indefinable,11-12 years,Hard
scoutmaster,11-12 years,Hard
frazzled,9-10 years,Moderate
dirtbag,9-10 years,Moderate
truant,7-8 years,Moderate
accrued,9-10 years,Moderate
photonic,9-10 years,Moderate
rappel,7-8 years,Moderate
undesired,11-12 years,Moderate
probiotic,11-12 years,Moderate
booker,7-8 years,Moderate
meddling,9-10 years,Moderate
gramophone,11-12 years,Hard
infinitive,11-12 years,Hard
physiognomy,11-12 years,Hard
monopolist,11-12 years,Hard
brainstem,11-12 years,Moderate
midweek,9-10 years,Moderate
zippered,9-10 years,Moderate
unmentioned,11-12 years,Hard
awesomely,11-12 years,Moderate
closer,7-8 years,Moderate
interviewing,11-12 years,Hard
reprove,9-10 years,Moderate
snapdragon,11-12 years,Hard
survivability,11-12 years,Hard
bipedal,9-10 years,Moderate
narcolepsy,11-12 years,Hard
therefrom,11-12 years,Moderate
reputational,11-12 years,Hard
quickening,11-12 years,Hard
sorceress,11-12 years,Moderate
florentine,11-12 years,Hard
backrest,9-10 years,Moderate
leeward,9-10 years,Moderate
heritable,11-12 years,Moderate
crestfallen,11-12 years,Hard
pothead,9-10 years,Moderate
typecast,9-10 years,Moderate
unbind,7-8 years,Moderate
geometrically,11-12 years,Hard
camisole,9-10 years,Moderate
decamp,7-8 years,Moderate
tableware,11-12 years,Moderate
simulcast,11-12 years,Moderate
mumble,7-8 years,Moderate
shielding,11-12 years,Moderate
bulgur,7-8 years,Moderate
militate,9-10 years,Moderate
scarab,7-8 years,Moderate
literalist,11-12 years,Hard
ringed,7-8 years,Moderate
upright,9-10 years,Moderate
looky,7-8 years,Moderate
selectman,11-12 years,Moderate
blushing,9-10 years,Moderate
fount,7-8 years,Moderate
wholehearted,11-12 years,Hard
unrepresentative,11-12 years,Hard
skybox,7-8 years,Moderate
unglamorous,11-12 years,Hard
bruschetta,11-12 years,Hard
terrarium,11-12 years,Moderate
fahrenheit,11-12 years,Hard
armload,9-10 years,Moderate
backhanded,11-12 years,Hard
southpaw,9-10 years,Moderate
teething,9-10 years,Moderate
religionist,11-12 years,Hard
chica,7-8 years,Moderate
vexation,9-10 years,Moderate
handspring,11-12 years,Hard
gab,5-6 years,Moderate
unwisely,9-10 years,Moderate
brain,7-8 years,Moderate
creative,9-10 years,Moderate
schoolbook,11-12 years,Hard
mastiff,9-10 years,Moderate
impermanence,11-12 years,Hard
gnosticism,11-12 years,Hard
perforate,11-12 years,Moderate
caulk,7-8 years,Moderate
vernal,7-8 years,Moderate
gratuitously,11-12 years,Hard
sulphate,9-10 years,Moderate
anthropocentric,11-12 years,Hard
flab,5-6 years,Moderate
hob,5-6 years,Moderate
fete,5-6 years,Moderate
pulling,9-10 years,Moderate
reestablishment,11-12 years,Hard
wheeler,9-10 years,Moderate
argentinian,11-12 years,Hard
beneficence,11-12 years,Hard
etymological,11-12 years,Hard
hoosier,9-10 years,Moderate
calcification,11-12 years,Hard
chipset,9-10 years,Moderate
ladyship,9-10 years,Moderate
neutrally,11-12 years,Moderate
beachside,11-12 years,Moderate
watercraft,11-12 years,Hard
interglacial,11-12 years,Hard
polyglot,9-10 years,Moderate
denude,7-8 years,Moderate
blooded,9-10 years,Moderate
keen,5-6 years,Moderate
imprecision,11-12 years,Hard
magister,9-10 years,Moderate
slavish,9-10 years,Moderate
smokehouse,11-12 years,Hard
traded,7-8 years,Moderate
vim,5-6 years,Moderate
onesie,7-8 years,Moderate
paroxysm,9-10 years,Moderate
sauropod,9-10 years,Moderate
adventuresome,11-12 years,Hard
cocker,7-8 years,Moderate
fishmonger,11-12 years,Hard
practicing,11-12 years,Hard
commutation,11-12 years,Hard
sulky,7-8 years,Moderate
neighborly,11-12 years,Hard
random,7-8 years,Moderate
underpowered,11-12 years,Hard
taxonomist,11-12 years,Hard
privateer,11-12 years,Moderate
otolaryngology,11-12 years,Hard
transitive,11-12 years,Hard
listlessly,11-12 years,Hard
adroit,7-8 years,Moderate
cogeneration,11-12 years,Hard
eosinophil,11-12 years,Hard
gyrus,7-8 years,Moderate
paperboy,9-10 years,Moderate
fettuccine,11-12 years,Hard
flub,5-6 years,Moderate
narco,7-8 years,Moderate
nicaraguan,11-12 years,Hard
uncountable,11-12 years,Hard
hitched,9-10 years,Moderate
deregulated,11-12 years,Hard
decomposed,11-12 years,Hard
tenancy,9-10 years,Moderate
rhyming,9-10 years,Moderate
rummy,7-8 years,Moderate
graviton,9-10 years,Moderate
vellum,7-8 years,Moderate
pockmarked,11-12 years,Hard
castor,7-8 years,Moderate
brainwashing,11-12 years,Hard
flimsy,7-8 years,Moderate
awakening,11-12 years,Moderate
outsourced,11-12 years,Hard
decryption,11-12 years,Hard
interment,11-12 years,Moderate
headcount,11-12 years,Moderate
snakeskin,11-12 years,Moderate
antidiscrimination,11-12 years,Hard
enthrone,9-10 years,Moderate
tampering,11-12 years,Moderate
helpfulness,11-12 years,Hard
remorseless,11-12 years,Hard
bloodlust,11-12 years,Moderate
compassionately,11-12 years,Hard
thespian,9-10 years,Moderate
superwoman,11-12 years,Hard
cliched,9-10 years,Moderate
recording,11-12 years,Moderate
widow,7-8 years,Moderate
blitzkrieg,11-12 years,Hard
strictness,11-12 years,Hard
inapplicable,11-12 years,Hard
tinkle,7-8 years,Moderate
biking,7-8 years,Moderate
rubella,9-10 years,Moderate
confocal,9-10 years,Moderate
papery,7-8 years,Moderate
herbed,7-8 years,Moderate
topping,9-10 years,Moderate
reconstituted,11-12 years,Hard
sleepwalker,11-12 years,Hard
krill,7-8 years,Moderate
sowing,7-8 years,Moderate
chagrin,9-10 years,Moderate
bulimic,9-10 years,Moderate
venerated,11-12 years,Moderate
bent,5-6 years,Moderate
reverential,11-12 years,Hard
awfulness,11-12 years,Moderate
trivially,11-12 years,Moderate
fretful,9-10 years,Moderate
callously,11-12 years,Moderate
microenvironment,11-12 years,Hard
saccharin,11-12 years,Moderate
shivering,11-12 years,Moderate
hymen,7-8 years,Moderate
inanity,9-10 years,Moderate
treble,7-8 years,Moderate
felonious,11-12 years,Moderate
discovered,11-12 years,Hard
menthol,9-10 years,Moderate
whiff,7-8 years,Moderate
gawky,7-8 years,Moderate
afterschool,11-12 years,Hard
collegian,11-12 years,Moderate
ganache,9-10 years,Moderate
witticism,11-12 years,Moderate
cyborg,7-8 years,Moderate
originalist,11-12 years,Hard
jollies,9-10 years,Moderate
encroaching,11-12 years,Hard
galilean,9-10 years,Moderate
pincer,7-8 years,Moderate
beanstalk,11-12 years,Moderate
vesting,9-10 years,Moderate
ornately,9-10 years,Moderate
hereabouts,11-12 years,Hard
conjunto,9-10 years,Moderate
fledge,7-8 years,Moderate
exhibitionist,11-12 years,Hard
mascarpone,11-12 years,Hard
incompletion,11-12 years,Hard
microfilm,11-12 years,Moderate
pulsed,7-8 years,Moderate
buttonhole,11-12 years,Hard
perfidy,9-10 years,Moderate
cloudiness,11-12 years,Hard
epidural,9-10 years,Moderate
gimlet,7-8 years,Moderate
nubian,7-8 years,Moderate
dipstick,9-10 years,Moderate
yearning,9-10 years,Moderate
horn,5-6 years,Moderate
infeasible,11-12 years,Hard
reversibility,11-12 years,Hard
beside,7-8 years,Moderate
snobbish,9-10 years,Moderate
inelegant,11-12 years,Moderate
grouch,7-8 years,Moderate
ironical,9-10 years,Moderate
blinded,9-10 years,Moderate
prebiotic,11-12 years,Moderate
hepatocyte,11-12 years,Hard
consonance,11-12 years,Hard
toppling,9-10 years,Moderate
familiarly,11-12 years,Hard
tollbooth,11-12 years,Moderate
baathist,9-10 years,Moderate
explained,11-12 years,Moderate
cruncher,9-10 years,Moderate
repack,7-8 years,Moderate
raconteur,11-12 years,Moderate
stapes,7-8 years,Moderate
inoperative,11-12 years,Hard
wile,5-6 years,Moderate
wayfarer,9-10 years,Moderate
bier,5-6 years,Moderate
anthropic,11-12 years,Moderate
unseeing,9-10 years,Moderate
perfumer,9-10 years,Moderate
regulative,11-12 years,Hard
clean,7-8 years,Moderate
creamer,9-10 years,Moderate
fist,5-6 years,Moderate
pictograph,11-12 years,Hard
sippy,7-8 years,Moderate
anointing,11-12 years,Moderate
tutee,7-8 years,Moderate
invitee,9-10 years,Moderate
brazier,9-10 years,Moderate
chained,9-10 years,Moderate
vindicated,11-12 years,Hard
scattershot,11-12 years,Hard
rezone,7-8 years,Moderate
marketeer,11-12 years,Moderate
piezoelectric,11-12 years,Hard
solenoid,9-10 years,Moderate
yesterday,11-12 years,Moderate
candy,7-8 years,Moderate
disarmingly,11-12 years,Hard
sputter,9-10 years,Moderate
ignominy,9-10 years,Moderate
slanting,9-10 years,Moderate
roofline,9-10 years,Moderate
secularize,11-12 years,Hard
plainclothes,11-12 years,Hard
overdrawn,11-12 years,Moderate
octogenarian,11-12 years,Hard
tortellini,11-12 years,Hard
exhibitionism,11-12 years,Hard
pitting,9-10 years,Moderate
untangled,11-12 years,Moderate
temptress,11-12 years,Moderate
dearie,7-8 years,Moderate
overeager,11-12 years,Moderate
nonsurgical,11-12 years,Hard
paschal,9-10 years,Moderate
flycatcher,11-12 years,Hard
mythologize,11-12 years,Hard
leitmotif,11-12 years,Moderate
swill,7-8 years,Moderate
permissiveness,11-12 years,Hard
decant,7-8 years,Moderate
overdone,9-10 years,Moderate
striatum,9-10 years,Moderate
interleague,11-12 years,Hard
showplace,11-12 years,Moderate
matchmaking,11-12 years,Hard
unflinchingly,11-12 years,Hard
strangler,11-12 years,Moderate
prekindergarten,11-12 years,Hard
noiselessly,11-12 years,Hard
frictional,11-12 years,Hard
knowledgable,11-12 years,Hard
unalterable,11-12 years,Hard
snowbound,11-12 years,Moderate
neologism,11-12 years,Moderate
pillage,9-10 years,Moderate
unsurprised,11-12 years,Hard
initial,9-10 years,Moderate
corpulent,11-12 years,Moderate
brane,7-8 years,Moderate
capping,9-10 years,Moderate
cotillion,11-12 years,Moderate
ingrown,9-10 years,Moderate
leaning,9-10 years,Moderate
belly,7-8 years,Moderate
magnetometer,11-12 years,Hard
echocardiography,11-12 years,Hard
ultralight,11-12 years,Hard
zealotry,9-10 years,Moderate
reflexivity,11-12 years,Hard
calcite,9-10 years,Moderate
integrin,9-10 years,Moderate
unobtainable,11-12 years,Hard
coitus,7-8 years,Moderate
madwoman,9-10 years,Moderate
threateningly,11-12 years,Hard
unripe,7-8 years,Moderate
segmental,11-12 years,Moderate
obstetric,11-12 years,Moderate
chemise,9-10 years,Moderate
disembowel,11-12 years,Hard
sagely,7-8 years,Moderate
blackmailer,11-12 years,Hard
amerindian,11-12 years,Hard
underestimate,11-12 years,Hard
satiny,7-8 years,Moderate
congener,9-10 years,Moderate
plateau,9-10 years,Moderate
playwriting,11-12 years,Hard
memorability,11-12 years,Hard
emasculate,11-12 years,Hard
druggist,9-10 years,Moderate
bifurcated,11-12 years,Hard
shoeless,9-10 years,Moderate
impulsiveness,11-12 years,Hard
spitball,9-10 years,Moderate
organza,9-10 years,Moderate
halfcourt,11-12 years,Moderate
understudied,11-12 years,Hard
robocall,9-10 years,Moderate
disused,9-10 years,Moderate
dross,7-8 years,Moderate
wahhabi,9-10 years,Moderate
elastomer,11-12 years,Moderate
thiamine,9-10 years,Moderate
bookend,9-10 years,Moderate
discretely,11-12 years,Hard
verger,7-8 years,Moderate
lamina,7-8 years,Moderate
cogently,9-10 years,Moderate
skincare,9-10 years,Moderate
stevia,7-8 years,Moderate
oarsman,9-10 years,Moderate
dichotomize,11-12 years,Hard
misleadingly,11-12 years,Hard
integrally,11-12 years,Hard
twee,5-6 years,Moderate
anodyne,9-10 years,Moderate
arpeggio,9-10 years,Moderate
niqab,7-8 years,Moderate
rickets,9-10 years,Moderate
interferometry,11-12 years,Hard
brickwork,11-12 years,Moderate
cartoony,9-10 years,Moderate
mined,7-8 years,Moderate
gerontologist,11-12 years,Hard
hosiery,9-10 years,Moderate
largo,7-8 years,Moderate
cluelessness,11-12 years,Hard
assimilationist,11-12 years,Hard
bauxite,9-10 years,Moderate
grayness,9-10 years,Moderate
prolongation,11-12 years,Hard
heartsick,11-12 years,Moderate
racking,9-10 years,Moderate
strappy,9-10 years,Moderate
medina,7-8 years,Moderate
kabob,7-8 years,Moderate
supermax,9-10 years,Moderate
anion,7-8 years,Moderate
acceptably,11-12 years,Hard
assistantship,11-12 years,Hard
rhapsodize,11-12 years,Hard
leash,7-8 years,Moderate
hatchway,9-10 years,Moderate
giggling,9-10 years,Moderate
reportable,11-12 years,Hard
meander,9-10 years,Moderate
theophany,11-12 years,Moderate
surrealist,11-12 years,Hard
batik,7-8 years,Moderate
skirting,9-10 years,Moderate
gather,7-8 years,Moderate
esthetics,11-12 years,Moderate
parsing,9-10 years,Moderate
daikon,7-8 years,Moderate
overindulge,11-12 years,Hard
ptolemaic,11-12 years,Moderate
proliferative,11-12 years,Hard
savor,7-8 years,Moderate
elision,9-10 years,Moderate
acquisitive,11-12 years,Hard
begotten,9-10 years,Moderate
washingtonian,11-12 years,Hard
protozoan,11-12 years,Moderate
radiologic,11-12 years,Hard
calender,9-10 years,Moderate
psychophysical,11-12 years,Hard
scofflaw,9-10 years,Moderate
amoxicillin,11-12 years,Hard
airspeed,9-10 years,Moderate
neuroma,9-10 years,Moderate
madonna,9-10 years,Moderate
tommy,7-8 years,Moderate
schoolkid,11-12 years,Moderate
cud,5-6 years,Moderate
healthfully,11-12 years,Hard
deltoid,9-10 years,Moderate
breathability,11-12 years,Hard
covetousness,11-12 years,Hard
koranic,9-10 years,Moderate
urinalysis,11-12 years,Hard
limpid,7-8 years,Moderate
multifarious,11-12 years,Hard
malathion,11-12 years,Moderate
petulance,11-12 years,Moderate
surcharge,11-12 years,Moderate
whinny,7-8 years,Moderate
teardown,9-10 years,Moderate
writhing,9-10 years,Moderate
overfishing,11-12 years,Hard
overwork,9-10 years,Moderate
temperamentally,11-12 years,Hard
wilful,7-8 years,Moderate
enforceability,11-12 years,Hard
emergent,9-10 years,Moderate
internee,9-10 years,Moderate
proof,7-8 years,Moderate
squall,7-8 years,Moderate
bracero,9-10 years,Moderate
directionless,11-12 years,Hard
parte,7-8 years,Moderate
soonest,9-10 years,Moderate
nickle,7-8 years,Moderate
backwash,9-10 years,Moderate
beamed,7-8 years,Moderate
undefended,11-12 years,Hard
tae,5-6 years,Moderate
cornrows,9-10 years,Moderate
prevarication,11-12 years,Hard
carbonation,11-12 years,Hard
obliged,9-10 years,Moderate
stoutly,9-10 years,Moderate
prog,5-6 years,Moderate
ingenuous,11-12 years,Moderate
flyboy,7-8 years,Moderate
cliffside,11-12 years,Moderate
editorially,11-12 years,Hard
bewilder,9-10 years,Moderate
aminoglycoside,11-12 years,Hard
lisp,5-6 years,Moderate
substructure,11-12 years,Hard
whoopee,9-10 years,Moderate
prizefighter,11-12 years,Hard
pyrotechnic,11-12 years,Hard
overregulation,11-12 years,Hard
wizarding,11-12 years,Moderate
wanly,7-8 years,Moderate
collar,7-8 years,Moderate
gameday,9-10 years,Moderate
laudanum,9-10 years,Moderate
sulcus,7-8 years,Moderate
minicomputer,11-12 years,Hard
quirkiness,11-12 years,Hard
carthaginian,11-12 years,Hard
novitiate,11-12 years,Moderate
structuralism,11-12 years,Hard
cowrie,7-8 years,Moderate
synesthesia,11-12 years,Hard
scarily,9-10 years,Moderate
shootaround,11-12 years,Hard
rimless,9-10 years,Moderate
neurodegeneration,11-12 years,Hard
applique,9-10 years,Moderate
epaulet,9-10 years,Moderate
honorarium,11-12 years,Hard
kielbasa,9-10 years,Moderate
sepulchre,11-12 years,Moderate
prayerfully,11-12 years,Hard
vacated,9-10 years,Moderate
tagging,9-10 years,Moderate
licentiousness,11-12 years,Hard
astrobiology,11-12 years,Hard
rocketry,9-10 years,Moderate
lacerate,9-10 years,Moderate
guff,5-6 years,Moderate
prosodic,9-10 years,Moderate
hieroglyphic,11-12 years,Hard
prettiness,11-12 years,Hard
straightway,11-12 years,Hard
flour,7-8 years,Moderate
familiar,9-10 years,Moderate
hypertrophic,11-12 years,Hard
autochthonous,11-12 years,Hard
biking,7-8 years,Moderate
pipette,9-10 years,Moderate
microfiche,11-12 years,Hard
oligarchic,11-12 years,Hard
blemish,9-10 years,Moderate
yeasty,7-8 years,Moderate
substratum,11-12 years,Hard
timorese,9-10 years,Moderate
affordably,11-12 years,Hard
tracksuit,11-12 years,Moderate
refereed,9-10 years,Moderate
spline,7-8 years,Moderate
goose,7-8 years,Moderate
shul,5-6 years,Moderate
ascription,11-12 years,Hard
sizing,7-8 years,Moderate
estrus,7-8 years,Moderate
coneflower,11-12 years,Hard
yaw,5-6 years,Moderate
boyo,5-6 years,Moderate
ossification,11-12 years,Hard
blithering,11-12 years,Hard
wintering,11-12 years,Moderate
bankable,9-10 years,Moderate
aesthetician,11-12 years,Hard
affordance,11-12 years,Hard
rheumatology,11-12 years,Hard
indexical,11-12 years,Moderate
synergistically,11-12 years,Hard
courant,9-10 years,Moderate
childrearing,11-12 years,Hard
budgeted,9-10 years,Moderate
precast,9-10 years,Moderate
brushed,9-10 years,Moderate
cottony,9-10 years,Moderate
jihadism,9-10 years,Moderate
unachievable,11-12 years,Hard
antenatal,11-12 years,Moderate
blaring,9-10 years,Moderate
almshouse,11-12 years,Moderate
anadromous,11-12 years,Hard
showboating,11-12 years,Hard
inductively,11-12 years,Hard
swashbuckling,11-12 years,Hard
blindside,11-12 years,Moderate
nonrespondent,11-12 years,Hard
starlike,9-10 years,Moderate
whinny,7-8 years,Moderate
thermally,11-12 years,Moderate
incorporeal,11-12 years,Hard
baited,7-8 years,Moderate
landfilling,11-12 years,Hard
unsparing,11-12 years,Moderate
couturier,11-12 years,Moderate
pumper,7-8 years,Moderate
forcefield,11-12 years,Hard
protoplanetary,11-12 years,Hard
hoarseness,11-12 years,Hard
foodway,9-10 years,Moderate
muchacho,9-10 years,Moderate
singed,7-8 years,Moderate
embolization,11-12 years,Hard
trattoria,11-12 years,Moderate
foredeck,9-10 years,Moderate
overage,9-10 years,Moderate
queasiness,11-12 years,Hard
deactivation,11-12 years,Hard
feminized,11-12 years,Moderate
ulna,5-6 years,Moderate
jockstrap,11-12 years,Moderate
uninviting,11-12 years,Hard
tippet,7-8 years,Moderate
ambulation,11-12 years,Hard
gloria,7-8 years,Moderate
lowercase,11-12 years,Moderate
civet,7-8 years,Moderate
blistered,11-12 years,Moderate
taxi,5-6 years,Moderate
socioemotional,11-12 years,Hard
cloche,7-8 years,Moderate
sigil,7-8 years,Moderate
blaspheme,11-12 years,Moderate
uppercase,11-12 years,Moderate
transylvanian,11-12 years,Hard
lymphocytic,11-12 years,Hard
senselessly,11-12 years,Hard
workmanlike,11-12 years,Hard
childishness,11-12 years,Hard
regally,9-10 years,Moderate
preeminently,11-12 years,Hard
fretting,9-10 years,Moderate
proteolytic,11-12 years,Hard
houseful,9-10 years,Moderate
incan,7-8 years,Moderate
reviewed,9-10 years,Moderate
mannish,9-10 years,Moderate
tinned,7-8 years,Moderate
belay,7-8 years,Moderate
lettered,9-10 years,Moderate
syncretic,11-12 years,Moderate
interobserver,11-12 years,Hard
corporate,11-12 years,Moderate
porterhouse,11-12 years,Hard
carney,7-8 years,Moderate
deregulatory,11-12 years,Hard
opportunistically,11-12 years,Hard
confit,7-8 years,Moderate
tailwind,9-10 years,Moderate
indiscernible,11-12 years,Hard
shipowner,11-12 years,Moderate
anthropomorphize,11-12 years,Hard
neoplatonic,11-12 years,Hard
barrenness,11-12 years,Hard
unifier,9-10 years,Moderate
maasai,7-8 years,Moderate
streetwalker,11-12 years,Hard
orthopedics,11-12 years,Hard
detainment,11-12 years,Hard
hidalgo,9-10 years,Moderate
psychometrically,11-12 years,Hard
tesseract,11-12 years,Moderate
laryngoscope,11-12 years,Hard
threshing,11-12 years,Moderate
unethically,11-12 years,Hard
glucagon,9-10 years,Moderate
headlining,11-12 years,Hard
satisfyingly,11-12 years,Hard
prole,7-8 years,Moderate
stevedore,11-12 years,Moderate
praetorian,11-12 years,Hard
nubby,7-8 years,Moderate
ptarmigan,11-12 years,Moderate
squeamishness,11-12 years,Hard
tapper,7-8 years,Moderate
subscript,11-12 years,Moderate
antitoxin,11-12 years,Moderate
clusterfuck,11-12 years,Hard
silver,7-8 years,Moderate
backhand,9-10 years,Moderate
shingled,9-10 years,Moderate
laminar,9-10 years,Moderate
endometrium,11-12 years,Hard
wielder,9-10 years,Moderate
craniofacial,11-12 years,Hard
stenciled,11-12 years,Moderate
omicron,9-10 years,Moderate
outgain,9-10 years,Moderate
oxygenated,11-12 years,Hard
nucleation,11-12 years,Hard
valorize,9-10 years,Moderate
semolina,9-10 years,Moderate
hallo,7-8 years,Moderate
waveguide,11-12 years,Moderate
monkfish,9-10 years,Moderate
reconceive,11-12 years,Hard
klansman,9-10 years,Moderate
zag,5-6 years,Moderate
cysteine,9-10 years,Moderate
organismal,11-12 years,Hard
pleasantness,11-12 years,Hard
spirochete,11-12 years,Hard
scrapbooking,11-12 years,Hard
uncredited,11-12 years,Hard
pincers,9-10 years,Moderate
astigmatism,11-12 years,Hard
undervote,11-12 years,Moderate
unmercifully,11-12 years,Hard
tooling,9-10 years,Moderate
grilling,9-10 years,Moderate
provincialism,11-12 years,Hard
dalmatian,11-12 years,Moderate
designator,11-12 years,Hard
nonprescription,11-12 years,Hard
quintuplet,11-12 years,Hard
programme,11-12 years,Moderate
grope,7-8 years,Moderate
interfering,11-12 years,Hard
subarachnoid,11-12 years,Hard
enviously,11-12 years,Moderate
